Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
49,-991.9878230201543,0,0,1.0,-3229.720901131946,0.0,0.0,1.0
50,-3627.3335961375105,0,0,1.0,-3353.9601185173196,0.0,0.0,1.0
51,-402.1628383705446,0,0,1.0,-2915.798711832357,0.0,0.0,1.0
52,-4283.887042700006,0,0,1.0,-2967.5764038520238,0.0,0.0,1.0
53,-3252.0651441945424,0,0,1.0,-3073.149083980713,0.0,0.0,1.0
54,-2315.618618826743,0,0,1.0,-2961.4256352558027,0.0,0.0,1.0
55,-3149.059807307131,0,0,1.0,-2968.9603813346375,0.0,0.0,1.0
56,-1821.0324298885591,0,0,1.0,-2625.68946925189,0.0,0.0,1.0
57,-5017.1735078159,0,0,1.0,-2836.14907218913,0.0,0.0,1.0
58,-2251.123810774756,0,0,1.0,-2711.1444619035847,0.0,0.0,1.0
59,-3243.1164206836606,0,0,1.0,-2936.2573216699357,0.0,0.0,1.0
60,-1064.2972233450844,0,0,1.0,-2679.9536843906926,0.0,0.0,1.0
61,-1181.075251399818,0,0,1.0,-2757.84492569362,0.0,0.0,1.0
62,-3615.138572837471,0,0,1.0,-2690.970078707366,0.0,0.0,1.0
63,-3656.3504620857516,0,0,1.0,-2731.3986104964874,0.0,0.0,1.0
64,-6143.683309417706,0,0,1.0,-3114.205079555584,0.0,0.0,1.0
65,-4549.378774927733,0,0,1.0,-3254.236976317644,0.0,0.0,1.0
66,-2551.8828324812753,0,0,1.0,-3327.3220165769153,0.0,0.0,1.0
67,-2551.8405390066196,0,0,1.0,-3080.7887196959873,0.0,0.0,1.0
68,-3948.5905991098502,0,0,1.0,-3250.535398529497,0.0,0.0,1.0
69,-3155.0987100265415,0,0,1.0,-3241.733627463785,0.0,0.0,1.0
70,-5331.604399033104,0,0,1.0,-3668.464345032587,0.0,0.0,1.0
71,-1666.4380750927007,0,0,1.0,-3717.000627401875,0.0,0.0,1.0
72,-3881.947962313226,0,0,1.0,-3743.6815663494513,0.0,0.0,1.0
73,-2715.2258610271015,0,0,1.0,-3649.569106243586,0.0,0.0,1.0
74,-836.3822170964846,0,0,1.0,-3118.8389970114636,0.0,0.0,1.0
75,-1839.0805646363203,0,0,1.0,-2847.8091759823224,0.0,0.0,1.0
76,-2845.6676974910056,0,0,1.0,-2877.187662483295,0.0,0.0,1.0
77,-1622.0502956249038,0,0,1.0,-2784.2086381451236,0.0,0.0,1.0
78,507.3415733695938,0,0,1.0,-2338.6154208971793,0.0,0.0,1.0
79,-2549.8911233469053,0,0,1.0,-2278.094662229216,0.0,0.0,1.0
80,-4517.126535485294,0,0,1.0,-2196.646875874435,0.0,0.0,1.0
81,-2635.176609044165,0,0,1.0,-2293.5207292695814,0.0,0.0,1.0
82,-2056.4811835120995,0,0,1.0,-2110.9740513894685,0.0,0.0,1.0
83,-4802.626683142558,0,0,1.0,-2319.7141336010145,0.0,0.0,1.0
84,-3729.3297407777745,0,0,1.0,-2609.008885969143,0.0,0.0,1.0
85,-1193.6071120568988,0,0,1.0,-2544.4615407112015,0.0,0.0,1.0
86,-1956.9877070766786,0,0,1.0,-2455.5935416697685,0.0,0.0,1.0
87,-2360.431370677422,0,0,1.0,-2529.4316491750205,0.0,0.0,1.0
88,-1261.1755342223423,0,0,1.0,-2706.2833599342143,0.0,0.0,1.0
89,-618.6189049904506,0,0,1.0,-2513.156138098568,0.0,0.0,1.0
90,-462.4518779840198,0,0,1.0,-2107.688672348441,0.0,0.0,1.0
91,-1712.9485270790449,0,0,1.0,-2015.465864151929,0.0,0.0,1.0
92,-904.2415511230006,0,0,1.0,-1900.241900913019,0.0,0.0,1.0
93,-2546.5740796731443,0,0,1.0,-1674.6366405660774,0.0,0.0,1.0
94,-4868.928627197022,0,0,1.0,-1788.5965292080025,0.0,0.0,1.0
95,-377.70443570368013,0,0,1.0,-1707.0062615726806,0.0,0.0,1.0
96,-478.2943761188193,0,0,1.0,-1559.1369284768948,0.0,0.0,1.0
97,-323.86932362563647,0,0,1.0,-1355.4807237717162,0.0,0.0,1.0
98,-683.9950685075924,0,0,1.0,-1297.7626772002411,0.0,0.0,1.0
99,-660.1700909698139,0,0,1.0,-1301.9177957981776,0.0,0.0,1.0
100,-1554.2453672326558,0,0,1.0,-1411.097144723041,0.0,0.0,1.0
101,-212.89602857925993,0,0,1.0,-1261.0918948730625,0.0,0.0,1.0
102,-3351.0568551380325,0,0,1.0,-1505.7734252745659,0.0,0.0,1.0
103,-1747.077887088489,0,0,1.0,-1425.8238060161004,0.0,0.0,1.0
104,-528.0928288992123,0,0,1.0,-991.7402261863193,0.0,0.0,1.0
105,-2360.6750874777917,0,0,1.0,-1190.0372913637304,0.0,0.0,1.0
106,163.9064044777844,0,0,1.0,-1125.81721330407,0.0,0.0,1.0
107,-3272.826657538933,0,0,1.0,-1420.7129466953998,0.0,0.0,1.0
108,-2385.252055223041,0,0,1.0,-1590.8386453669448,0.0,0.0,1.0
109,-2437.331694292171,0,0,1.0,-1768.5548056991804,0.0,0.0,1.0
110,553.2902709254988,0,0,1.0,-1557.8012418833646,0.0,0.0,1.0
111,-2005.5742918238407,0,0,1.0,-1737.0690682078227,0.0,0.0,1.0
112,-114.61331904982806,0,0,1.0,-1413.4247145990025,0.0,0.0,1.0
113,185.93863797161902,0,0,1.0,-1220.1230620929914,0.0,0.0,1.0
114,661.8351181106891,0,0,1.0,-1101.1302673920013,0.0,0.0,1.0
115,-387.4676570112223,0,0,1.0,-903.8095243453447,0.0,0.0,1.0
116,-1031.795595519675,0,0,1.0,-1023.3797243450905,0.0,0.0,1.0
117,-3114.5879315924294,0,0,1.0,-1007.55585175044,0.0,0.0,1.0
118,-862.8274341673024,0,0,1.0,-855.3133896448662,0.0,0.0,1.0
119,1066.809961858597,0,0,1.0,-504.89922402978937,0.0,0.0,1.0
120,619.07355333911,0,0,1.0,-498.32089578842834,0.0,0.0,1.0
121,-392.91802314074664,0,0,1.0,-337.0552689201188,0.0,0.0,1.0
122,-1973.9121367076082,0,0,1.0,-522.9851506858969,0.0,0.0,1.0
123,1895.5615448383821,0,0,1.0,-352.0228599992205,0.0,0.0,1.0
124,-1045.848762721354,0,0,1.0,-522.7912480824249,0.0,0.0,1.0
125,-3703.6032001312797,0,0,1.0,-854.4048023944306,0.0,0.0,1.0
126,27.82862610462207,0,0,1.0,-748.4423802320009,0.0,0.0,1.0
127,1426.220326850423,0,0,1.0,-294.3615543877157,0.0,0.0,1.0
128,-99.04119826901425,0,0,1.0,-217.98293079788687,0.0,0.0,1.0
129,-1380.7732879357216,0,0,1.0,-462.74125577731877,0.0,0.0,1.0
130,-842.0578334255111,0,0,1.0,-608.854394453781,0.0,0.0,1.0
131,-835.5223216201146,0,0,1.0,-653.1148243017177,0.0,0.0,1.0
132,-305.5838862550638,0,0,1.0,-486.2819992564632,0.0,0.0,1.0
133,-110.54314034134529,0,0,1.0,-686.892467774436,0.0,0.0,1.0
134,-553.7351453207256,0,0,1.0,-637.6811060343731,0.0,0.0,1.0
135,218.97434688714253,0,0,1.0,-245.42335133253087,0.0,0.0,1.0
136,-1674.595288106178,0,0,1.0,-415.6657427536109,0.0,0.0,1.0
137,-788.9478177973001,0,0,1.0,-637.1825572183832,0.0,0.0,1.0
138,817.0846410809929,0,0,1.0,-545.5699732833825,0.0,0.0,1.0
139,423.1839195880033,0,0,1.0,-365.17425253101004,0.0,0.0,1.0
140,58.1371397867381,0,0,1.0,-275.15475520978504,0.0,0.0,1.0
141,-1536.1758382105797,0,0,1.0,-345.2201068688316,0.0,0.0,1.0
142,-367.20027426161914,0,0,1.0,-351.38174566948703,0.0,0.0,1.0
143,-256.57606312511496,0,0,1.0,-365.9850379478641,0.0,0.0,1.0
144,-154.00115825928359,0,0,1.0,-326.01163924171993,0.0,0.0,1.0
145,874.6136022859184,0,0,1.0,-260.44771370184236,0.0,0.0,1.0
146,276.1542484641626,0,0,1.0,-65.37276004480822,0.0,0.0,1.0
147,-533.6146182454021,0,0,1.0,-39.83944008961843,0.0,0.0,1.0
148,-1322.9535803019821,0,0,1.0,-253.84326222791591,0.0,0.0,1.0
149,557.1537121364426,0,0,1.0,-240.446282973072,0.0,0.0,1.0
150,1627.5372838539852,0,0,1.0,-83.5062685663473,0.0,0.0,1.0
151,-4418.584508393104,0,0,1.0,-371.74713558459973,0.0,0.0,1.0
152,327.9480089855936,0,0,1.0,-302.23230725987844,0.0,0.0,1.0
153,300.1075406898646,0,0,1.0,-246.5639468783805,0.0,0.0,1.0
154,-766.0519833077948,0,0,1.0,-307.76902938323167,0.0,0.0,1.0
