Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
41,-8926.351404167079,0,0,1.0,-8501.615341760704,0.0,0.0,1.0
42,-9299.075163386242,0,0,1.0,-8579.637817463672,0.0,0.0,1.0
43,-7754.303262968367,0,0,1.0,-8668.021296772595,0.0,0.0,1.0
44,-10925.236008936408,0,0,1.0,-8878.142682032516,0.0,0.0,1.0
45,-8229.727503509925,0,0,1.0,-8930.94771000452,0.0,0.0,1.0
46,-9451.39434784188,0,0,1.0,-8974.326699130326,0.0,0.0,1.0
47,-11477.64959719561,0,0,1.0,-9104.096022776353,0.0,0.0,1.0
48,-9669.78905742448,0,0,1.0,-9208.736981928783,0.0,0.0,1.0
49,-8830.757883461994,0,0,1.0,-9320.643735184338,0.0,0.0,1.0
50,-9225.235227918622,0,0,1.0,-9378.95194568106,0.0,0.0,1.0
51,-5591.691965298525,0,0,1.0,-9045.486001794205,0.0,0.0,1.0
52,-8083.522970403512,0,0,1.0,-8923.930782495932,0.0,0.0,1.0
53,-10587.170895279598,0,0,1.0,-9207.217545727057,0.0,0.0,1.0
54,-8984.113457559008,0,0,1.0,-9013.105290589316,0.0,0.0,1.0
55,-9786.774384120336,0,0,1.0,-9168.809978650357,0.0,0.0,1.0
56,-8814.084309635216,0,0,1.0,-9105.07897482969,0.0,0.0,1.0
57,-8658.107215150723,0,0,1.0,-8823.124736625203,0.0,0.0,1.0
58,-8705.11035850878,0,0,1.0,-8726.656866733632,0.0,0.0,1.0
59,-7900.563574530526,0,0,1.0,-8633.637435840486,0.0,0.0,1.0
60,-6619.010113342764,0,0,1.0,-8373.0149243829,0.0,0.0,1.0
61,-9180.61879493569,0,0,1.0,-8731.907607346617,0.0,0.0,1.0
62,-9168.852383069148,0,0,1.0,-8840.440548613178,0.0,0.0,1.0
63,-8005.762844805044,0,0,1.0,-8582.299743565723,0.0,0.0,1.0
64,-7470.870740580618,0,0,1.0,-8430.975471867883,0.0,0.0,1.0
65,-9567.108377930384,0,0,1.0,-8409.00887124889,0.0,0.0,1.0
66,-7738.442427802109,0,0,1.0,-8301.444683065578,0.0,0.0,1.0
67,-10935.894954679296,0,0,1.0,-8529.223457018436,0.0,0.0,1.0
68,-6415.745841247467,0,0,1.0,-8300.287005292304,0.0,0.0,1.0
69,-11245.158680386889,0,0,1.0,-8634.74651587794,0.0,0.0,1.0
70,-8591.15697985124,0,0,1.0,-8831.961202528788,0.0,0.0,1.0
71,-8343.054848124371,0,0,1.0,-8748.204807847656,0.0,0.0,1.0
72,-8279.015257122272,0,0,1.0,-8659.221095252968,0.0,0.0,1.0
73,-7927.5062324131695,0,0,1.0,-8651.395434013783,0.0,0.0,1.0
74,-8218.118853874961,0,0,1.0,-8726.120245343216,0.0,0.0,1.0
75,-11237.525447178932,0,0,1.0,-8893.16195226807,0.0,0.0,1.0
76,-9354.037897105623,0,0,1.0,-9054.721499198422,0.0,0.0,1.0
77,-8375.940895495527,0,0,1.0,-8798.726093280045,0.0,0.0,1.0
78,-9542.31418167299,0,0,1.0,-9111.382927322597,0.0,0.0,1.0
79,-8960.003183939396,0,0,1.0,-8882.867377677849,0.0,0.0,1.0
80,-7962.532628656541,0,0,1.0,-8820.004942558378,0.0,0.0,1.0
81,-7562.621404086882,0,0,1.0,-8741.961598154629,0.0,0.0,1.0
